COD_ESCOLA;SITUACAO_FUNCIONAMENTO;TIPO_LOCALIZACAO;TIPO_REDE;ENDERECO_BAIRRO;MUNICIPIO;ESTADO;CEP;LATITUDE;LONGITUDE;QT_SALAS_EXISTENTES;QT_SALAS_UTILIZADAS;QT_MAT_INF;QT_MAT_FUND_AI;QT_MAT_FUND_AF;QT_MAT_MED;QT_MAT_EJA;QT_MAT_PROF;QT_MAT_ESP;QT_DOC_INF;QT_DOC_FUND_AI;QT_DOC_FUND_AF;QT_DOC_MED;QT_DOC_EJA;QT_DOC_PROF;QT_TUR_INF;QT_TUR_FUND_AI;QT_TUR_FUND_AF;QT_TUR_MED;QT_TUR_EJA;QT_TUR_PROF
41386736;Em Atividade;Urbana;Municipal;CIC;Curitiba;PR;81460020;-25.53063;-49.33483;null;11;235;0;0;0;0;0;1;20;0;0;0;0;0;15;0;0;0;0;0
41130006;Em Atividade;Urbana;Estadual;TATUQUARA;Curitiba;PR;81480186;-25.5582;-49.332367;null;27;0;0;1053;747;0;67;66;0;0;62;52;0;13;0;0;36;21;0;2
41130812;Em Atividade;Urbana;Municipal;HUGO LANGE;Curitiba;PR;80040452;-25.421076;-49.24401;null;9;26;319;0;0;0;0;19;3;20;0;0;0;0;1;11;0;0;0;0
41161912;Em Atividade;Urbana;Privada;BOQUEIRAO;Curitiba;PR;81670440;-25.494526;-49.254684;null;6;47;0;0;0;0;0;9;4;0;0;0;0;0;5;0;0;0;0;0
41130901;Em Atividade;Urbana;Estadual;CAXIMBA;Curitiba;PR;81490000;-25.621647;-49.34834;null;11;0;0;639;361;0;0;44;0;0;31;29;0;0;0;0;22;11;0;0
41164369;Em Atividade;Urbana;Privada;UMBARA;Curitiba;PR;81930165;null;null;null;4;28;0;0;0;0;0;0;5;0;0;0;0;0;4;0;0;0;0;0
41592891;Em Atividade;Urbana;Privada;CENTRO;Curitiba;PR;80250020;-25.43867;-49.27613;null;7;0;0;0;0;322;0;0;0;0;0;0;11;0;0;0;0;0;2;0
41132580;Em Atividade;Urbana;Privada;CRISTO REI;Curitiba;PR;80050205;-25.432484;-49.252182;null;11;46;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0
41156498;Em Atividade;Urbana;Privada;NOVO MUNDO;Curitiba;PR;81030410;-25.490873;-49.28159;null;4;43;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0
41158296;Em Atividade;Urbana;Municipal;CAJURU;Curitiba;PR;82950060;-25.441519;-49.22114;null;10;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
